,자치구,CCTV_설치수_2023,단속_CCTV_위치수
0,계,13857.0,0.0
1,종로구,924.0,42671.0
2,중구,135.0,51073.0
3,용산구,411.0,25311.0
4,성동구,320.0,22847.0
5,광진구,348.0,21832.0
6,동대문구,509.0,33940.0
7,중랑구,433.0,11880.0
8,성북구,415.0,16453.0
9,강북구,375.0,21595.0
10,도봉구,638.0,19797.0
11,노원구,623.0,16875.0
12,은평구,441.0,16850.0
13,서대문구,433.0,12603.0
14,마포구,827.0,49572.0
15,양천구,993.0,23748.0
16,강서구,424.0,19972.0
17,구로구,484.0,26556.0
18,금천구,825.0,18589.0
19,영등포구,437.0,70763.0
20,동작구,427.0,8823.0
21,관악구,744.0,21106.0
22,서초구,469.0,26581.0
23,강남구,923.0,68883.0
24,송파구,940.0,39719.0
25,강동구,359.0,31471.0
26,nan,0.0,0.0
